iter	Passed	Remaining
0	48	48215
1	78	39347
2	111	37132
3	142	35442
4	173	34487
5	204	33848
6	233	33111
7	261	32386
8	289	31842
9	317	31419
10	349	31404
11	377	31042
12	404	30679
13	431	30397
14	458	30137
15	485	29867
16	512	29638
17	540	29484
18	567	29308
19	593	29082
20	619	28886
21	648	28844
22	675	28675
23	702	28565
24	730	28488
25	761	28519
26	790	28486
27	819	28434
28	878	29402
29	914	29556
30	939	29353
31	970	29360
32	1002	29367
33	1033	29356
34	1067	29432
35	1099	29445
36	1127	29356
37	1154	29226
38	1179	29071
39	1204	28908
40	1230	28789
41	1255	28647
42	1283	28564
43	1308	28440
44	1334	28319
45	1359	28191
46	1385	28096
47	1411	27992
48	1437	27904
49	1462	27783
50	1486	27664
51	1512	27571
52	1537	27466
53	1561	27359
54	1586	27261
55	1611	27163
56	1637	27085
57	1669	27110
58	1696	27064
59	1723	27002
60	1750	26948
61	1775	26864
62	1801	26789
63	1826	26718
64	1852	26640
65	1877	26570
66	1903	26503
67	1929	26451
68	1954	26366
69	1979	26297
70	2005	26245
71	2033	26215
72	2059	26156
73	2085	26095
74	2110	26029
75	2139	26007
76	2169	26010
77	2200	26011
78	2231	26018
79	2260	25991
80	2287	25949
81	2311	25877
82	2339	25846
83	2364	25783
84	2390	25728
85	2413	25652
86	2440	25611
87	2466	25563
88	2491	25507
89	2516	25447
90	2542	25397
91	2568	25345
92	2592	25284
93	2616	25219
94	2642	25177
95	2668	25131
96	2693	25071
97	2721	25046
98	2745	24988
99	2771	24943
100	2796	24890
101	2822	24851
102	2846	24793
103	2871	24743
104	2897	24698
105	2921	24642
106	2946	24592
107	2973	24562
108	3000	24527
109	3025	24480
110	3051	24440
111	3077	24399
112	3101	24345
113	3125	24288
114	3149	24239
115	3175	24196
116	3200	24155
117	3225	24110
118	3253	24083
119	3277	24036
120	3305	24015
121	3340	24038
122	3371	24042
123	3403	24043
124	3430	24016
125	3456	23976
126	3481	23931
127	3508	23902
128	3534	23864
129	3559	23821
130	3583	23773
131	3607	23721
132	3634	23689
133	3659	23650
134	3685	23617
135	3713	23593
136	3738	23548
137	3762	23504
138	3786	23453
139	3811	23413
140	3835	23365
141	3859	23322
142	3884	23281
143	3911	23253
144	3940	23236
145	3970	23227
146	3999	23210
147	4026	23179
148	4053	23149
149	4079	23119
150	4103	23072
151	4129	23038
152	4155	23005
153	4182	22975
154	4205	22929
155	4230	22888
156	4255	22851
157	4282	22820
158	4305	22773
159	4331	22740
160	4358	22710
161	4382	22668
162	4407	22634
163	4433	22601
164	4462	22584
165	4492	22572
166	4522	22556
167	4552	22547
168	4579	22520
169	4607	22496
170	4632	22457
171	4656	22415
172	4682	22383
173	4707	22349
174	4731	22306
175	4756	22267
176	4781	22232
177	4804	22187
178	4831	22159
179	4857	22128
180	4884	22100
181	4909	22067
182	4935	22032
183	4962	22007
184	4987	21972
185	5014	21945
186	5039	21910
187	5063	21870
188	5089	21837
189	5115	21808
190	5142	21781
191	5166	21742
192	5189	21699
193	5215	21666
194	5239	21630
195	5263	21591
196	5288	21555
197	5314	21524
198	5338	21488
199	5362	21451
200	5387	21416
201	5412	21383
202	5438	21352
203	5462	21315
204	5486	21278
205	5512	21246
206	5538	21216
207	5564	21188
208	5589	21153
209	5614	21119
210	5644	21108
211	5673	21089
212	5704	21076
213	5732	21053
214	5759	21029
215	5783	20992
216	5808	20959
217	5834	20928
218	5859	20896
219	5884	20862
220	5910	20832
221	5933	20795
222	5959	20765
223	5983	20727
224	6007	20693
225	6032	20659
226	6057	20628
227	6082	20594
228	6108	20565
229	6135	20541
230	6163	20516
231	6187	20483
232	6211	20448
233	6237	20417
234	6263	20389
235	6287	20354
236	6312	20322
237	6338	20292
238	6362	20260
239	6388	20229
240	6411	20191
241	6435	20157
242	6462	20131
243	6487	20101
244	6511	20066
245	6536	20035
246	6561	20003
247	6586	19972
